a_type,day_of_week,time_of_day,a_parameter,fps,bitrate,total_frame_number,name,time_consumption,target
people_counting,0,12,1,12,500,29194,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_12-00-00.mp4,1277.4795949459076,23662
people_counting,0,13,1,12,500,38257,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_13-00-00.mp4,1347.023075580597,29662
people_counting,0,14,1,12,500,42213,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_14-00-01.mp4,1475.8023657798767,70148
people_counting,0,15,1,12,500,41823,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_15-00-00.mp4,1451.2801487445831,59541
people_counting,0,16,1,12,500,41430,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_16-00-01.mp4,1449.1962792873383,23449
people_counting,0,17,1,12,500,38995,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_17-00-01.mp4,1371.8984680175781,30024
people_counting,0,18,1,12,500,35611,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_18-00-00.mp4,1260.1930544376373,13085
illegal_parking0,0,0,1,6,100,2208,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_00-00-00.mp4,160.41411089897156,3
people_counting,0,19,1,12,500,33298,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_19-00-00.mp4,1572.457589149475,16738
illegal_parking0,0,1,1,6,100,5849,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_01-00-00.mp4,306.22431468963623,16
illegal_parking0,0,2,1,6,100,5157,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_02-00-00.mp4,245.40013360977173,0
illegal_parking0,0,3,1,6,100,10326,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_03-00-00.mp4,419.3734269142151,0
illegal_parking0,0,4,1,6,100,8322,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_04-00-00.mp4,369.2865056991577,17
illegal_parking0,0,5,1,6,100,9420,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_05-00-01.mp4,467.3075087070465,1
people_counting,0,20,1,12,500,31005,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_20-00-01.mp4,1752.884610414505,19414
illegal_parking0,0,6,1,6,100,7601,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_06-00-00.mp4,418.5852539539337,21
illegal_parking0,0,7,1,6,100,20040,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_07-00-00.mp4,1055.2858304977417,80
people_counting,0,21,1,12,500,22366,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_21-00-00.mp4,1287.9177346229553,11826
people_counting,0,22,1,12,500,15766,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_22-00-00.mp4,927.2141356468201,5027
illegal_parking0,0,8,1,6,100,21599,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_08-00-00.mp4,1153.6204822063446,91
people_counting,0,23,1,12,500,13108,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_23-00-00.mp4,790.343358039856,5442
illegal_parking0,0,9,1,6,100,21602,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_09-00-00.mp4,1119.0977499485016,246
people_counting,0,0,1,24,500,8833,./storage_server_volume/converted_videos/24-500/2020-11-09_00-00-00/Pole1_2020-11-09_00-00-00.mp4,665.3854231834412,582
illegal_parking0,0,10,1,6,100,21476,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_10-00-00.mp4,1108.0429682731628,180
people_counting,0,1,1,24,500,23382,./storage_server_volume/converted_videos/24-500/2020-11-09_00-00-00/Pole1_2020-11-09_01-00-00.mp4,1425.0955531597137,2526
illegal_parking0,0,11,1,6,100,15014,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_11-00-00.mp4,800.3056027889252,382
illegal_parking0,0,12,1,6,100,14598,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_12-00-00.mp4,788.842137336731,323
people_counting,0,2,1,24,500,20631,./storage_server_volume/converted_videos/24-500/2020-11-09_00-00-00/Pole1_2020-11-09_02-00-00.mp4,1271.645439863205,26
illegal_parking0,0,13,1,6,100,19130,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_13-00-00.mp4,1015.7791464328766,314
illegal_parking0,0,14,1,6,100,21109,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_14-00-01.mp4,1120.9760937690735,2033
people_counting,0,3,1,24,500,41296,./storage_server_volume/converted_videos/24-500/2020-11-09_00-00-00/Pole1_2020-11-09_03-00-00.mp4,2373.1506781578064,0
illegal_parking0,0,15,1,6,100,20913,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_15-00-00.mp4,1112.2313420772552,1271
illegal_parking0,0,16,1,6,100,20716,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_16-00-01.mp4,1093.651968717575,273
